BASE DE DONNÉES ALIMENTAIRE - Informations Nutritionnelles

Format: Aliment | Portion | Calories | Protéines(g) | Glucides(g) | Lipides(g) | Fibres(g) | Index Glycémique
Graines de citrouille | 30g | 150 | 7 | 5 | 12 | 1.5 | Bas

# Huiles et Graisses (15ml = 1 c. à soupe)

Huile d'olive | 15ml | 120 | 0 | 0 | 14 | 0 | -
Huile de coco | 15ml | 120 | 0 | 0 | 14 | 0 | -
Huile d'avocat | 15ml | 120 | 0 | 0 | 14 | 0 | -
Beurre | 15g | 100 | 0.1 | 0.1 | 11.5 | 0 | -
Avocat | 100g | 160 | 2 | 9 | 15 | 7 | Bas
Beurre d'amande | 30g | 190 | 7 | 6 | 18 | 3 | Bas
Beurre d'arachide | 30g | 190 | 8 | 7 | 16 | 2 | Bas

# Légumineuses Sèches (poids sec, à cuire)

Lentilles sèches | 100g | 353 | 25 | 60 | 1.1 | 31 | Bas
Pois chiches secs | 100g | 364 | 19 | 61 | 6 | 17 | Bas
Haricots noirs secs | 100g | 341 | 21 | 62 | 1.4 | 15 | Bas
Pois cassés | 100g | 341 | 25 | 60 | 1.2 | 25 | Bas

# Substituts et Alternatives

Lait d'amande non sucré | 250ml | 40 | 1 | 2 | 3 | 1 | Bas
Lait de soja non sucré | 250ml | 80 | 7 | 4 | 4 | 1 | Bas
Lait d'avoine | 250ml | 120 | 3 | 16 | 5 | 2 | Moyen
Nouilles de konjac | 100g | 10 | 0 | 3 | 0 | 3 | Très Bas
Riz de chou-fleur | 100g | 25 | 2 | 5 | 0.3 | 2 | Bas
Spirales de courgettes | 100g | 20 | 1.5 | 3.5 | 0.4 | 1.1 | Bas

# Condiments et Autres (par portion typique)

Moutarde | 5g | 5 | 0.3 | 0.5 | 0.3 | 0.5 | -
Sauce soja | 15ml | 10 | 1 | 1 | 0 | 0 | -
Vinaigre balsamique | 15ml | 15 | 0 | 3 | 0 | 0 | -
Houmous | 30g | 75 | 2 | 6 | 5 | 2 | Bas
Salsa | 30g | 10 | 0.5 | 2 | 0 | 0.5 | Bas
Guacamole | 30g | 50 | 0.6 | 3 | 4.5 | 2 | Bas

Notes:
- Les valeurs sont approximatives et peuvent varier selon la marque/préparation
- IG (Index Glycémique): Bas (<55), Moyen (56-69), Élevé (≥70)
- Les portions peuvent être ajustées selon les besoins individuels
- Pour les diabétiques, privilégier les aliments à IG bas et moyen

